,PM2.5,PM10,NO2,O3,CO,SO2,BC,NO,NOX,Overall_AQI_Level,Overall_AQI_Category
2019-06-04 00:00:00+05:30,0.0,13.7,0.0061428571428571,9.259200000000002,1.15625,-6.269505312500001,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-05 00:00:00+05:30,2.8,12.3125,0.0065714285714285,4.645600000000002,1.228125,-6.269505312500001,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-06 00:00:00+05:30,5.6,10.925,0.007,0.032,1.3,-6.269505312500001,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-07 00:00:00+05:30,4.88,9.5375,4.9056,0.03175,1.22,-6.269505312500001,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-08 00:00:00+05:30,4.16,8.149999999999999,9.8042,0.0315,1.14,-6.269505312500001,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-09 00:00:00+05:30,3.4399999999999995,6.762499999999999,14.7028,0.03125,1.06,-6.269505312500001,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-10 00:00:00+05:30,2.72,5.375,19.6014,0.031,0.98,-6.269505312500001,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-11 00:00:00+05:30,2.0,3.987499999999999,24.5,0.0285555555555555,0.9,2.3,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-12 00:00:00+05:30,2.0,2.6,1.030492,0.0261111111111111,0.8200000000000001,2.0125,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-13 00:00:00+05:30,3.4571428571428573,5.228571428571429,0.8849931428571428,0.0236666666666666,0.74,1.725,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-14 00:00:00+05:30,4.914285714285715,7.857142857142858,0.7394942857142857,0.0212222222222222,0.66,1.4375,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-15 00:00:00+05:30,6.371428571428571,10.485714285714286,0.5939954285714286,0.0187777777777777,0.5800000000000001,1.15,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-16 00:00:00+05:30,7.828571428571428,13.114285714285714,0.4484965714285714,0.0163333333333333,0.5,0.8624999999999998,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-17 00:00:00+05:30,9.285714285714285,15.742857142857142,0.3029977142857143,0.0138888888888888,0.42,0.575,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-18 00:00:00+05:30,10.742857142857142,18.371428571428574,0.1574988571428572,0.0114444444444444,0.3400000000000001,0.2875000000000001,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-19 00:00:00+05:30,12.2,21.0,0.012,0.009,0.26,0.0,0.1722556788728149,0.0070212183528934,0.012899,2,Moderate
2019-06-20 00:00:00+05:30,11.983333333333333,30.62,0.0111666666666666,0.0099999999999999,0.2666666666666666,0.3146666666666666,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-21 00:00:00+05:30,11.766666666666666,40.24,0.0103333333333333,0.011,0.2733333333333333,0.6293333333333333,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-22 00:00:00+05:30,11.55,34.25,0.0095,0.012,0.28,0.944,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-23 00:00:00+05:30,11.333333333333334,28.26,0.0086666666666666,0.013,0.2866666666666667,1.2586666666666666,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-24 00:00:00+05:30,11.116666666666667,22.27,0.0078333333333333,0.0139999999999999,0.2933333333333333,1.5733333333333333,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-25 00:00:00+05:30,10.9,16.279999999999998,0.0069999999999999,0.015,0.3,1.888,0.1722556788728149,0.0070212183528934,0.012899,1,Good
2019-06-26 00:00:00+05:30,3.0,10.289999999999996,0.5617777777777778,12.891111111111112,27.370833333333337,2.2026666666666666,0.1722556788728149,0.0070212183528934,0.012899,5,Very Unhealthy
